SampleName,GWC,TDR,pH,NO3N,NH4N,Tnpercent,Tcpercent,DayOfSample,MonthlyTemperatureAt7.5cm,3dayTemperatureAt7.5cm,MonthlyAirTemp,SoilResp,HeteroResp,RootResp,DayOfResp,ER,GPP,NEE,YearOfNEE,DayOfNEE,Rain,DNA_yield_ND,DNA_yield_PG,MQ_ND,MQ_PG,Year,MQ_PG
M06_C2,0.147826087,18.4,6.27,15.99,10.47,0.1,1.156,165,24.38582292,24.13013889,25.61111111,3.26,0.42,2.84,169,4.050530381,5.708262401,-1.657732019,2012,169,73.66,56.9,43.06,0.007381371,0.009753832,2012,0.009753832
M06_C3,0.12244898,16.75,6.45,1.2205,10.285,0.079,0.94,165,24.26402083,24.10819444,25.61111111,3.88,0.865,3.015,169,0.372957546,0.306690822,0.066266724,2012,169,73.66,47.7,33.54,0.018134172,0.025790101,2012,0.025790101
M06_C4,0.165048544,18.85,5.96,13.79,10.88,0.081,0.988,165,25.24355903,24.88493056,25.61111111,3.88,0.865,3.015,169,0.272071165,2.007477,-1.735405835,2012,169,73.66,40.83,29.97,0.021185403,0.028862196,2012,0.028862196
M06_H1,0.13592233,18,6.74,11.645,7.665,0.055,0.562,165,25.61000694,24.48673611,25.61111111,3.01,2.48,0.53,169,4.025762469,3.066281335,0.959481134,2012,169,73.66,32.33,29.92,0.076708939,0.082887701,2012,0.082887701
M06_H2,0.130841121,12.95,6.02,13.795,8.465,0.07,0.641,165,28.52618056,28.30149306,25.61111111,4.04,1.44,2.6,169,4.394891974,6.417231091,-2.022339117,2012,169,73.66,27.5,20.62,0.052363636,0.069835112,2012,0.069835112
M06_H3,0.142857143,20,6.4,8.385,8.76,0.059,0.802,165,27.68313194,27.71130787,25.61111111,3.525,1.96,1.565,169,0.479941949,0.283193071,0.195341996,2012,169,73.66,33.3,23.09,0.058858859,0.084885232,2012,0.084885232
M06_H4,0.115384615,16.55,6.41,16.565,8.15,0.068,0.73,165,32.44757292,30.34569444,25.61111111,3.525,1.96,1.565,169,0.478535067,0.299917723,0.180024225,2012,169,73.66,45.2,33.22,0.043362832,0.059000602,2012,0.059000602
M07_C1,0.07,3.25,6.26,10.725,10.76,0.058,0.568,198,30.91757392,29.44538194,29.72222222,2.66,0.76,1.9,204,1.241674692,1.621364064,-0.379689372,2011,200,23.622,21.88,16.21,0.034734918,0.046884639,2012,0.046884639
M07_C2,0.047619048,4.133,6.43,7.705,13.96,0.089,0.857,198,27.0818414,25.91736111,29.72222222,2.32,0.38,1.94,204,0.763273458,1.655436583,-0.892163126,2011,200,23.622,50.92,36.61,0.007462687,0.010379678,2012,0.010379678
M07_C3,0.067961165,3.933,6.43,8.23,17.05,0.149,1.705,198,26.70825605,25.55840278,29.72222222,2.85,0.77,2.08,204,0.972082849,1.31187931,-0.339796461,2011,200,23.622,42.77,30.19,0.018003273,0.025505134,2012,0.025505134
M07_C4,0.03960396,3.283,6.45,4.9765,11.59,0.075,0.754,198,28.32298387,26.97204861,29.72222222,1.39,1.48,0,204,1.554189476,1.119838521,0.434350955,2011,200,23.622,31.22,20.33,0.047405509,0.072798819,2012,0.072798819
M07_H1,0.094339623,3.4,6.37,18.165,12.285,0.076,0.757,198,31.28208669,30.66215278,29.72222222,2.24,0.85,1.39,204,1.027273533,2.601142081,-1.573868549,2011,200,23.622,22.84,18.49,0.037215412,0.045970795,2012,0.045970795
M07_H2,0.049019608,4.8,6.36,11.075,11.31,0.056,0.602,198,29.99796371,28.64739583,29.72222222,2.53,0.66,1.87,204,2.458336602,3.174877344,-0.716540743,2011,200,23.622,24.84,13.82,0.026570048,0.047756874,2012,0.047756874
M07_H3,0.04950495,4.967,6.23,8.195,12.84,0.076,0.867,198,32.31568212,32.345625,29.72222222,2.13,0.95,1.18,204,0.045256194,4.157858708,-1.357784062,2011,200,23.622,25.5,18.34,0.037254902,0.051799346,2012,0.051799346
M07_H4,0.118811881,3.5,6.23,25.795,17.045,0.091,0.933,198,39.70235215,37.72732639,29.72222222,1.56,1.15,0.41,204,2.800074645,0.170533938,-0.125277744,2011,200,23.622,38.42,27.47,0.029932327,0.041863851,2012,0.041863851
M08_C1,0.11,2.3,6.44,17.445,12.01,0.073,0.68,230,30.12324261,28.900625,28.11111111,2.93,0.83,2.1,236,6.352992284,8.667199598,-2.314207314,2013,214,91.948,23.4,18.23,0.035470085,0.045529347,2012,0.045529347
M08_C2,0.059405941,4.283,6.47,9.72,12.28,0.09,0.782,230,27.33634409,27.41409722,28.11111111,1.81,0.2,1.61,236,2.857857008,5.801837257,-2.943980249,2013,214,91.948,82.6,30.07,0.002421308,0.006651147,2012,0.006651147
M08_C3,0.12,7,6.51,15.025,17.495,0.17,1.683,230,27.02130538,27.2316572,28.11111111,3.97,1.49,2.48,236,5.9826666,3.473337665,2.509328935,2013,214,91.948,53.7,27.15,0.027746741,0.054880295,2012,0.054880295
M08_C4,0.098039216,2.783,5.97,18.08,17.94,0.14,1.393,230,28.60940122,28.81615314,28.11111111,1.88,1.02,0.86,236,6.90000019,5.980791507,0.919208684,2013,214,91.948,68.88,48.03,0.014808362,0.021236727,2012,0.021236727
M08_H1,0.04950495,6.817,6.41,20.525,9.62,0.062,0.428,230,33.21722446,32.67993056,28.11111111,1.46,0.75,0.71,236,2.222831255,2.561668423,-0.338837168,2013,214,91.948,27.36,23.64,0.027412281,0.031725888,2012,0.031725888
M08_H2,0.058823529,3.433,6.04,14.355,13.535,0.063,0.537,230,29.43051747,29.26746528,28.11111111,2.1,0.91,1.19,236,13.42087979,12.88017596,0.540703832,2013,214,91.948,51.42,32.03,0.017697394,0.028410865,2012,0.028410865
M08_H3,0.112149533,3.433,6.09,7.86,11.9,0.069,0.607,230,32.00526547,32.70681446,28.11111111,3.69,2.42,1.27,236,6.586461563,16.26461835,-4.137357315,2013,214,91.948,42,19.77,0.057619048,0.037133158,2012,0.122407688
M08_H4,0.11,4.833,6.33,15.065,11.48,0.107,1.034,230,36.805595,36.17304754,28.11111111,2.26,1.36,0.9,236,12.12726104,10.56882091,-3.982359349,2013,214,91.948,31.2,26.53,0.043589744,0.051262721,2012,0.051262721
M09_C1,0.03,1.55,5.86,33.14,11.12,0.088,0.72,261,25.413125,20.71197917,23.5,1.21,0.44,0.77,266,7.440617266,14.67619754,-7.235580276,2012,253,85.598,41.85,45.08,0.01051374,0.009760426,2012,0.009760426
M09_C2,0.029411765,2.433,6.26,4.214,9.42,0.061,0.485,261,23.89237847,21.565,23.5,1,0.38,0.62,266,7.335479928,11.55824189,-4.222761961,2012,253,85.598,40.08,21.3,0.009481038,0.017840376,2012,0.017840376
M09_C3,0.048076923,2.233,6.2,7.07,13.645,0.098,0.982,261,23.79656478,21.51930556,23.5,2,0.72,1.28,266,7.013342973,12.04395344,-5.03061047,2012,253,85.598,31.91,25.72,0.02256346,0.027993779,2012,0.027993779
M09_C4,0.047619048,1.583,6.24,12.96,10.78,0.073,0.682,261,24.4118305,21.61753472,23.5,1.91,0.97,0.94,266,7.263146722,12.75946429,-5.496317569,2012,253,85.598,19.8,18.94,0.048989899,0.051214361,2012,0.051214361
M09_H1,0.07,1.7,7.34,10.45,10.72,0.081,0.708,261,28.65922569,26.08319444,23.5,2.48,0.88,1.6,266,4.081779089,5.363405961,-1.281626871,2012,253,85.598,35.68,25.73,0.024663677,0.034201321,2012,0.034201321
M09_H2,0.029126214,3.1,6.52,8.73,13.795,0.123,1.243,261,27.31733681,25.07881944,23.5,1.34,0.9,0.44,266,6.398478991,8.743935456,-2.345456465,2012,253,85.598,65.85,41.17,0.013667426,0.021860578,2012,0.021860578
M09_H3,0.038095238,3.267,5.89,22.11,10.28,0.077,0.708,261,28.90168461,25.99402778,23.5,1.65,0.8,0.85,266,0.500495331,4.728341721,-1.068090584,2012,253,85.598,23.53,16.25,0.03399915,0.049230769,2012,0.049230769
M09_H4,0.060606061,1.8,6.04,37.245,9.4,0.08,0.688,261,30.36557485,26.82006945,23.5,0.98,0.89,0.09,266,3.660251137,5.037885826,-4.537390495,2012,253,85.598,56.55,31.71,0.015738285,0.028066856,2012,0.028066856
M10_C1,0.079207921,5.25,6.66,3.456,12.905,0.101,1.063,291,18.02798891,19.21529514,15.72222222,1.6,0.79,0.81,302,1.648204879,1.882962991,-0.234758112,2012,302,4.826,37.99,30.57,0.020794946,0.025842329,2012,0.025842329
M10_C2,0.090909091,10.65,6.17,6.24,14.795,0.116,1.122,291,18.02798891,19.21529514,15.72222222,2.52,0.09,2.43,302,0.955908085,1.895697988,-0.939789903,2012,302,4.826,54.3,21,0.001657459,0.004285714,2012,0.004285714
M10_C3,0.118811881,4.7,5.88,14.9,15.525,0.125,1.491,291,18.21106855,19.18375,15.72222222,4.67,1.3,3.37,302,7.882536855,7.484702429,0.397834426,2012,302,4.826,78.28,60.98,0.016607052,0.021318465,2012,0.021318465
M10_C4,0.09,4.85,6.17,2.407,15.53,0.11,1.116,291,17.84490927,19.24684028,15.72222222,1.71,0.78,0.93,302,3.60161132,3.406604538,0.195006782,2012,302,4.826,57.94,41.66,0.013462202,0.018722996,2012,0.018722996
M10_H1,0.02970297,5.6,6.74,8.365,11.765,0.123,1.275,291,22.27478495,24.24548611,15.72222222,1.39,0.57,0.82,302,1.299573685,1.485837975,-0.18626429,2012,302,4.826,65.1,41.95,0.00875576,0.013587604,2012,0.013587604
M10_H2,0.103092784,4.55,6.15,14.035,17.315,0.151,1.618,291,22.27478495,24.24548611,15.72222222,2.43,0.89,1.54,302,1.188302834,0.840982916,0.347319918,2012,302,4.826,73.58,52.95,0.012095678,0.01680831,2012,0.01680831
M10_H3,0.049019608,7.4,6.2,11.105,10.62,0.077,0.725,291,22.46155578,24.24548611,15.72222222,2.88,1.09,1.79,302,5.281353919,6.539737717,-1.767357959,2012,302,4.826,55.32,43.52,0.019703543,0.025045956,2012,0.025045956
M10_H4,0.117647059,6.85,5.83,45.545,21.74,0.171,1.529,291,22.08801411,24.24548611,15.72222222,1.95,1.21,0.74,302,4.772379758,5.158930746,0.122423173,2012,302,4.826,81.52,62.93,0.014842983,0.019227713,2012,0.019227713
M11_C1,0.04950495,3.65,6.57,3.116,9.535,0.062,0.528,323,13.55883143,11.45432292,12,1.14,0.32,0.82,322,0.841427416,2.477590688,-1.636163272,2012,322,19.304,20.8,17.32,0.015384615,0.018475751,2012,0.018475751
M11_C2,0.08,5.25,6.11,6.305,11.15,0.2982,0.543,323,13.55883143,11.45432292,12,1.98,0.1,1.88,322,0.888968792,2.5130556,-1.624086808,2012,322,19.304,51.21,36.26,0.001952744,0.00275786,2012,0.00275786
M11_C3,0.097087379,3.1,6.22,2.351,12.975,0.069,0.768,323,13.59107292,11.55267361,12,4.1,1.62,2.48,322,0.431079444,1.361219274,-0.93013983,2012,322,19.304,42.8,25.73,0.037850467,0.011100311,2012,0.062961524
M11_C4,0.107843137,3.25,6.2,10.005,11.18,0.071,0.958,323,13.52658993,11.35597222,12,1.28,0.38,0.9,322,0.414208598,0.85806276,-0.443854162,2012,322,19.304,40.58,31.49,0.009364219,0.012067323,2012,0.012067323
M11_H1,0.047169811,4,5.75,11.03,10.995,0.057,0.55,323,18.73120139,15.41513889,12,0.83,0.25,0.58,322,0.531063597,1.958816774,-1.427753177,2012,322,19.304,19.41,12.38,0.012879959,0.020193861,2012,0.020193861
M11_H2,0.074766355,2.95,6.12,13.56,14.645,0.119,1.31,323,18.73120139,15.41513889,12,2.07,0.45,1.62,322,0.374775112,1.119974287,-0.745199174,2012,322,19.304,22.27,20.82,0.020206556,0.021613833,2012,0.021613833
M11_H3,0.068627451,5.8,6.35,7.67,9.025,0.058,0.56,323,18.99244444,15.41513889,12,1.96,0.37,1.59,322,0.371546325,1.643171557,-1.114190138,2012,322,19.304,14.9,12.61,0.024832215,0.029341792,2012,0.029341792
M11_H4,0.04,5.25,6.04,16.26,13.1,0.104,1.133,323,18.46995833,15.41513889,12,1.72,0.53,1.19,322,0.52898142,1.215827055,-0.84428073,2012,322,19.304,26.17,21.38,0.020252197,0.024789523,2012,0.024789523
M12_C1,0.028846154,6.083,6.54,1.905,12.655,0.103,1.273,347,9.153598689,7.671642818,6.111111111,0.85,0.3,0.55,353,0.861438237,2.407568689,-1.546130452,2012,353,21.336,64.28,48.92,0.004667082,0.006132461,2012,0.006132461
M12_C2,0.049019608,6.883,5.65,7.92,10.99,0.068,0.7,347,9.153598689,7.671642818,6.111111111,1.17,0.1,1.07,353,1.030674103,2.30827851,-1.277604407,2012,353,21.336,39.96,42.16,0.002502503,0.002371917,2012,0.002371917
M12_C3,0.05,8.233,6.32,4.0605,9.47,0.078,0.934,347,9.572243443,8.850495687,6.111111111,2.93,1.75,1.18,353,0.797248637,2.323297266,-1.52604863,2012,353,21.336,38.69,28.64,0.045231326,0.005264842,2012,0.061103352
M12_C4,0.060606061,9.333,6.5,1.687,8.785,0.056,0.597,347,8.734953934,6.492789949,6.111111111,1.37,0.35,1.02,353,0.449250111,0.636342317,-0.187092206,2012,353,21.336,59.1,48.01,0.005922166,0.007290148,2012,0.007290148
M12_H1,0.038461538,5.55,5.89,17.37,9.405,0.075,0.723,347,13.98865047,10.90432745,6.111111111,0.79,0.39,0.4,353,0.432229987,2.129573499,-1.697343512,2012,353,21.336,17.2,18.08,0.022674419,0.021570796,2012,0.021570796
M12_H2,0.019230769,5.617,6.43,4.6405,12.72,0.111,1.28,347,13.98865047,10.90432745,6.111111111,1.49,0.3,1.19,353,0.162808902,0.303954728,-0.141145826,2012,353,21.336,23.73,19.79,0.012642225,0.015159171,2012,0.015159171
M12_H3,0.02,9.267,5.82,25.235,13.2,0.103,1.06,347,14.49188467,10.90432745,6.111111111,1.35,0.36,0.99,353,0.3085216,0.560395188,-0.271247507,2012,353,21.336,38.42,31.41,0.00937012,0.011461318,2012,0.011461318
M12_H4,0.029411765,6.933,5.71,31.555,10.645,0.077,0.921,347,13.48541627,10.90432745,6.111111111,0.97,0.6,0.37,353,0.289147681,0.131510988,0.177010613,2012,353,21.336,30.9,25.78,0.019417476,0.023273856,2012,0.023273856
